Country;League;Season;Date;Time;Home;Away;HG;AG;Res;PSCH;PSCD;PSCA;MaxCH;MaxCD;MaxCA;AvgCH;AvgCD;AvgCA;BFECH;BFECD;BFECA
Brazil;Serie A;2024;17/10/2024;01:45;Fortaleza;Atletico-MG;;;;1,72;3,55;5,7;1,78;3,6;6;1,71;3,5;5,48;1,78;3,7;5,9
Brazil;Serie A;2024;17/10/2024;01:45;Sao Paulo;Vasco;;;;1,81;3,54;4,95;1,88;3,6;5;1,8;3,48;4,7;1,87;3,65;5,1
Brazil;Serie A;2024;18/10/2024;00:00;Corinthians;Athletico-PR;;;;1,62;4,04;5,84;1,65;4,04;6,07;1,62;3,93;5,45;1,65;4,2;6,2
Brazil;Serie A;2024;18/10/2024;00:00;Flamengo RJ;Fluminense;;;;1,74;3,4;5,9;1,79;3,4;6,35;1,72;3,34;5,69;1,81;3,45;6,2
Brazil;Serie A;2024;18/10/2024;23:00;Atletico GO;Cuiaba;;;;2,23;3,15;3,74;2,28;3,25;3,95;2,18;3,1;3,65;2,24;3,25;4
Brazil;Serie A;2024;19/10/2024;00:00;Botafogo RJ;Criciuma;;;;1,32;5,5;10,42;1,36;5,57;10,42;1,32;5,25;9,24;1,35;5,7;11
Brazil;Serie A;2024;19/10/2024;01:30;Cruzeiro;Bahia;;;;1,93;3,53;4,28;1,95;3,66;4,3;1,91;3,48;4,06;1,97;3,65;4,5
Brazil;Serie A;2024;19/10/2024;20:00;Internacional;Gremio;;;;1,76;3,65;5,18;1,8;3,7;5,35;1,74;3,59;4,94;1,79;3,75;5,6
Brazil;Serie A;2024;19/10/2024;20:00;Vitoria;Bragantino;;;;2,25;3,15;3,68;2,31;3,3;3,68;2,22;3,12;3,49;2,32;3,25;3,65
Brazil;Serie A;2024;21/10/2024;00:00;Juventude;Palmeiras;;;;5,37;3,95;1,68;5,63;3,95;1,71;5,13;3,8;1,66;5,7;4;1,72
